onset	duration	trial_type	value
29.884416	10	2	1
41.680896	10	3	1
58.884096	10	3	1
74.514432	10	2	1
90.9312	10	2	1
105.283584	10	2	1
116.588544	10	3	1
131.72736	10	3	1
148.93056	10	2	1
166.035456	10	2	1
177.831936	10	2	1
196.509696	10	3	1
212.33664	10	3	1
226.787328	10	2	1
247.824384	10	3	1
263.847936	10	3	1
279.576576	10	2	1
291.078144	10	3	1
308.477952	10	2	1
321.45408	10	2	1
341.803008	10	2	1
357.138432	10	3	1
370.999296	10	3	1
386.82624	10	3	1
400.490496	10	3	1
421.036032	10	2	1
432.635904	10	2	1
449.24928	10	2	1
468.615168	10	3	1
483.753984	10	3	1
